id,file,archetype,note,rating,notes
0,patch_000.wav,stab,53,4,
1,patch_001.wav,stab,49,4,
2,patch_002.wav,lead,68,2,
3,patch_003.wav,seed,36,3,
4,patch_004.wav,reese,41,5,
5,patch_005.wav,keys,53,3,
6,patch_006.wav,pluck,61,2,
7,patch_007.wav,stab,48,3,
8,patch_008.wav,bass,34,4,
9,patch_009.wav,keys,48,2,
10,patch_010.wav,seed,37,1,
11,patch_011.wav,keys,55,3,
12,patch_012.wav,lead,66,1,
13,patch_013.wav,pad,55,2,
14,patch_014.wav,pluck,54,1,
15,patch_015.wav,seed,33,1,
16,patch_016.wav,pad,58,1,
17,patch_017.wav,reese,36,3,
18,patch_018.wav,bass,40,3,
19,patch_019.wav,stab,57,2,
20,patch_020.wav,pad,59,1,
21,patch_021.wav,pad,46,1,
22,patch_022.wav,lead,58,1,
23,patch_023.wav,bass,40,3,
24,patch_024.wav,reese,42,4,
25,patch_025.wav,pluck,56,1,
26,patch_026.wav,keys,63,1,
27,patch_027.wav,pad,51,3,
28,patch_028.wav,reese,35,4,
29,patch_029.wav,lead,61,1,
30,patch_030.wav,stab,54,1,
31,patch_031.wav,lead,64,1,
32,patch_032.wav,stab,48,1,
33,patch_033.wav,seed,42,1,
34,patch_034.wav,reese,37,3,
35,patch_035.wav,stab,58,1,
36,patch_036.wav,keys,64,1,
37,patch_037.wav,pluck,58,1,
38,patch_038.wav,bass,37,1,
39,patch_039.wav,lead,60,1,
40,patch_040.wav,seed,37,1,
41,patch_041.wav,reese,34,4,
42,patch_042.wav,keys,52,1,
43,patch_043.wav,bass,43,3,
44,patch_044.wav,seed,35,1,
45,patch_045.wav,pluck,56,1,
46,patch_046.wav,pad,47,3,
47,patch_047.wav,bass,36,4,
48,patch_048.wav,bass,33,5,
49,patch_049.wav,reese,43,3,
50,patch_050.wav,pad,58,4,
51,patch_051.wav,pluck,51,3,
52,patch_052.wav,pluck,63,1,
53,patch_053.wav,lead,67,1,
